Entry ID,Crystallization Method,Temp (K),pH,Crystal Growth Procedure,Matthews Coefficient,Percent Solvent Content,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Condition 11,Condition 12,Condition 13,Condition 14,Condition 15,Condition 16,Condition 17,Condition 18,Condition 19,Condition 20
9F4L,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.85,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4N,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.9,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4O,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.68,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4P,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.84,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4Q,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.66,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4S,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.56,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4T,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.75,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4U,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.81,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4V,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.61,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4Y,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.64,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F5C,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.83,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F5E,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.67,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F5F,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.07,40.64,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
8J81,"VAPOR DIFFUSION, SITTING DROP",293,4.5,"1M Sodium Acetate trihydrate pH4.5, 3.0 M Sodium Chrolide. Peptoid dissolved in DMSO was included. The final DMSO concentration was 2.4%",2.51,50.97,1M Sodium Acetate trihydrate pH4,3.0 M Sodium Chrolide,,,,,,,,,,,,,,,,,,
8OSV,VAPOR DIFFUSION,291,7.5,"100 mM HEPES, pH: 7.5, 25% PEG4000 150 mM sodium acetate, 200 mM lithium sulfate",2.59,52.5,100 mM HEPES,25% PEG4000 150 mM sodium acetate,200 mM lithium sulfate,,,,,,,,,,,,,,,,,
8OSZ,VAPOR DIFFUSION,291,7.5,"100 mM HEPES, pH 7.5, 25 % PEG4000, 150 mM sodium acetate, 200 mM lithium sulfate",2.59,52.5,100 mM HEPES,25 % PEG4000,150 mM sodium acetate,200 mM lithium sulfate,,,,,,,,,,,,,,,,
8OTK,"VAPOR DIFFUSION, SITTING DROP",289.15,4.5,"0.2M lithium sulfate, 0.1M sodium acetate pH 4.5, 50% w/v PEG 400",2.25,45.35,0.2M lithium sulfate,0.1M sodium acetate pH 4,50% w/v PEG 400,,,,,,,,,,,,,,,,,
8OTP,"VAPOR DIFFUSION, HANGING DROP",296,,"1.5 M sodium citrate, 0.1 M Tris pH 8.0",2.1,41.49,1.5 M sodium citrate,0.1 M Tris pH 8,,,,,,,,,,,,,,,,,,
8OUB,"VAPOR DIFFUSION, HANGING DROP",296,,"1.5 M sodium citrate, 0.1 M Tris pH 8.0",2.11,41.81,1.5 M sodium citrate,0.1 M Tris pH 8,,,,,,,,,,,,,,,,,,
8P5B,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M Sodium formate 0.1M Ammonium 
acetate 0.1M Sodium citrate tribasic 
dihydrate 0.1M Potassium sodium tartrate 
tetrahydrate 0.1M Sodium oxamate, 0.1M imidazole/MES pH 6.5, 12.5% v/v MPD 12.5% PEG 1000 12.5% w/v PEG 3350",2.6,52.68,0.1 M Sodium formate 0,.1M Ammonium,0.1M Sodium citrate tribasic,0.1M Potassium sodium tartrate,0.1M Sodium oxamate,0.1M imidazole/MES pH 6,12.5% v/v MPD 12,.5% PEG 1000 12,.5% w/v PEG 3350,,,,,,,,,,,
8QCU,"VAPOR DIFFUSION, SITTING DROP",290.15,4.5,"HEWL, ReAA, Imidazole, 1.0 M NaCl, and 0.05 M sodium acetate at 4.5 pH.",2.13,42.38,1.0 M NaCl,0.05 M sodium acetate at 4,,,,,,,,,,,,,,,,,,
8QMH,"VAPOR DIFFUSION, SITTING DROP",292,6,"0.08 M NaCl, 0.04 M Na cacodylate trihydrate pH 6.0, 45% v/v MPD, 0.012 M Spermine tetrahydrochloride",1.92,35.78,0.08 M NaCl,0.04 M Na cacodylate trihydrate pH 6,45% v/v MPD,0.012 M Spermine tetrahydrochloride,,,,,,,,,,,,,,,,
8SH6,"VAPOR DIFFUSION, SITTING DROP",292,9.5,"100 mM CHES pH 9.5, 29% PEG 3000",2.15,42.8,100 mM CHES pH 9,29% PEG 3000,,,,,,,,,,,,,,,,,,
8SH8,"VAPOR DIFFUSION, SITTING DROP",292,9.5,"100 mM CHES pH 9.5, 28% PEG 3000",2.08,40.97,100 mM CHES pH 9,28% PEG 3000,,,,,,,,,,,,,,,,,,
8VFL,"VAPOR DIFFUSION, HANGING DROP",298,,"24-30% PEG 4000, 0.1M Sodium Citrate (pH 5.6-6.0), 0.2M Ammonium Acetate",2.23,44.86,30% PEG 4000,0.1M Sodium Citrate,0.2M Ammonium Acetate,,,,,,,,,,,,,,,,,
8VFN,"VAPOR DIFFUSION, HANGING DROP",298,,"24-30% PEG 4000, 0.1M Sodium Citrate (pH 5.6-6.0), 0.2M Ammonium Acetate",2.23,44.82,30% PEG 4000,0.1M Sodium Citrate,0.2M Ammonium Acetate,,,,,,,,,,,,,,,,,
8VFO,"VAPOR DIFFUSION, HANGING DROP",298,,"20-28% PEG 4000, 0.1M Sodium Citrate, 0.2M Ammonium Acetate",1.99,38.22,28% PEG 4000,0.1M Sodium Citrate,0.2M Ammonium Acetate,,,,,,,,,,,,,,,,,
8VFW,"VAPOR DIFFUSION, HANGING DROP",298,,"26-32% PEG 4000, 0.1M Sodium Citrate (pH 5.2-6.8), 0.2M Ammonium Acetate",2.34,47.35,32% PEG 4000,0.1M Sodium Citrate,0.2M Ammonium Acetate,,,,,,,,,,,,,,,,,
8VG7,"VAPOR DIFFUSION, HANGING DROP",298,,"28-30% PEG 4000, 0.1M Sodium Citrate pH 5.8-6.2, 0.2M Ammonium Acetate",2.11,41.76,30% PEG 4000,0.1M Sodium Citrate pH 5,0.2M Ammonium Acetate,,,,,,,,,,,,,,,,,
8VG8,"VAPOR DIFFUSION, HANGING DROP",298,,"28-30% PEG 4000, 0.1M Sodium Citrate pH 5.8-6.2, 0.2M Ammonium Acetate",2.1,41.4,30% PEG 4000,0.1M Sodium Citrate pH 5,0.2M Ammonium Acetate,,,,,,,,,,,,,,,,,
8XIF,"VAPOR DIFFUSION, SITTING DROP",290,,"0.1 M Magnesium formate dihydrate, 15% w/v Polyethylene glycol 3,350",2.12,42.04,0.1 M Magnesium formate dihydrate,15% w/v Polyethylene glycol 3,,,,,,,,,,,,,,,,,,
9AZX,"VAPOR DIFFUSION, HANGING DROP",293,8,"100 mM Tris-HCl, pH 8, 200 mM sodium acetate, 30% w/v PEG4000",2.19,44,100 mM Tris-HCl,200 mM sodium acetate,30% w/v PEG4000,,,,,,,,,,,,,,,,,
9BHS,"VAPOR DIFFUSION, SITTING DROP",291,,"30% PEG2000 Monoethyl Ether, 0.2 M Potassium Bromide",2.17,43.33,30% PEG2000 Monoethyl Ether,0.2 M Potassium Bromide,,,,,,,,,,,,,,,,,,
9EN6,"VAPOR DIFFUSION, SITTING DROP",292,6.5,"0.08M Magnesium acetate tetrahydrate, 0.05M Sodium cacodylate trihydrate pH 6.5, 30% v/w Polyethylene glycol 4,000",1.65,25.27,0.08M Magnesium acetate tetrahydrate,0.05M Sodium cacodylate trihydrate pH 6,30% v/w Polyethylene glycol 4,,,,,,,,,,,,,,,,,
7H2T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.49,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H2U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.32,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H2V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.45,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H2W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.4,48.66,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H2X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.45,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H2Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.61,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H2Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.32,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H30,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.41,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H32,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.47,50.27,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H33,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.35,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H34,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.36,47.98,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H36,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.49,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H37,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.23,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H38,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.15,42.88,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H39,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.47,50.23,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.16,43.05,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.05,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.38,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3D,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.18,43.46,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3E,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.48,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3G,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.38,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.46,50.1,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3I,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.37,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3J,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.37,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.32,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3L,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.05,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.16,43.14,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3N,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.36,47.84,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3Q,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.43,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.49,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.54,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.6,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.16,43.1,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.36,47.97,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.41,48.94,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.17,43.34,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.5,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H3Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.36,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H40,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.37,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H42,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.59,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H43,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.48,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H44,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.5,50.83,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H45,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.59,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H47,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.39,48.45,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H48,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.36,47.92,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.08,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.36,47.82,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.15,42.81,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4F,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.14,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.36,47.9,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.21,44.24,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.12,41.95,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4P,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.13,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.14,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H4S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.28,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H50,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.14,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H51,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.4,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H52,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.06,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H53,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.38,48.22,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H54,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.16,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
7H55,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,"0.1 M MES, pH 6.05, 16 % PEG 20,000",2.37,48.17,0.1 M MES,16 % PEG 20,,,,,,,,,,,,,,,,,,
8I0J,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,PACT G10 20% w/v PEG3350;100mM BIS-TRIS propane PH7.5,2.21,44.26,20% w/v PEG3350,100mM BIS-TRIS propane PH7,,,,,,,,,,,,,,,,,,
8I12,"VAPOR DIFFUSION, HANGING DROP",291,6.5,"JCSG4-60 0.1 M HEPES pH 6.5, 30% (w/v) PEG 6000",2.02,39,0.1 M HEPES pH 6,,,,,,,,,,,,,,,,,,,
8J3Y,"VAPOR DIFFUSION, SITTING DROP",283,,"0.2 M magnesium chloride, 0.1 M bis-tris, pH 6.5, 25% w/v polyethylene glycol 3,350",2.39,48.62,0.2 M magnesium chloride,0.1 M bis-tris,25% w/v polyethylene glycol 3,,,,,,,,,,,,,,,,,
